1.441417698515579104e-04 7.936978712677955627e-03 1.452273689210414886e-02 9.979166984558105469e-01
2.205234632128849626e-04 7.651239167898893356e-03 1.450569089502096176e-02 9.979166984558105469e-01
3.099549503531306982e-04 7.238603197038173676e-03 1.327427383512258530e-02 9.979166984558105469e-01
4.102341190446168184e-04 6.781573873013257980e-03 1.461160182952880859e-02 9.979166984558105469e-01
5.188917857594788074e-04 6.377008743584156036e-03 1.256211847066879272e-02 9.979166984558105469e-01
6.332523771561682224e-04 6.038605235517024994e-03 1.415692176669836044e-02 9.979166984558105469e-01
7.505000103265047073e-04 5.746601149439811707e-03 1.373683568090200424e-02 9.979166984558105469e-01
8.677476434968411922e-04 5.556484218686819077e-03 1.305093616247177124e-02 9.979166984558105469e-01
9.821082931011915207e-04 5.422269459813833237e-03 1.358154974877834320e-02 9.979166984558105469e-01
1.090765930712223053e-03 5.304053425788879395e-03 1.312483940273523331e-02 9.979166984558105469e-01
1.191045041196048260e-03 5.209574475884437561e-03 1.346698589622974396e-02 9.979166984558105469e-01
1.280476571992039680e-03 5.125633906573057175e-03 1.346532069146633148e-02 9.979166984558105469e-01
1.356858294457197189e-03 5.060296505689620972e-03 1.343926694244146347e-02 9.979166984558105469e-01
1.418309402652084827e-03 4.991017747670412064e-03 1.331976614892482758e-02 9.979166984558105469e-01
1.463316846638917923e-03 4.935163538902997971e-03 1.337471883744001389e-02 9.979166984558105469e-01
1.490772468969225883e-03 4.891047719866037369e-03 1.341119315475225449e-02 9.979166984558105469e-01
1.500000013038516045e-03 4.843617323786020279e-03 1.345457788556814194e-02 9.979166984558105469e-01
1.490772468969225883e-03 4.801931325346231461e-03 1.351038552820682526e-02 9.979166984558105469e-01
1.463316846638917923e-03 4.768115468323230743e-03 1.337833888828754425e-02 9.979166984558105469e-01
1.418309402652084827e-03 4.739536903798580170e-03 1.349118817597627640e-02 9.979166984558105469e-01
1.356858294457197189e-03 4.709874745458364487e-03 1.350853685289621353e-02 9.979166984558105469e-01
1.280476571992039680e-03 4.687837325036525726e-03 1.357285957783460617e-02 9.979166984558105469e-01
1.191045041196048260e-03 4.663668107241392136e-03 1.365667674690485001e-02 9.979166984558105469e-01
1.090765930712223053e-03 4.644680302590131760e-03 1.369183696806430817e-02 9.979166984558105469e-01
9.821082931011915207e-04 4.633465316146612167e-03 1.369847171008586884e-02 9.979166984558105469e-01
8.677476434968411922e-04 4.618678707629442215e-03 1.368709933012723923e-02 9.979166984558105469e-01
7.505000103265047073e-04 4.608307965099811554e-03 1.368528697639703751e-02 9.979166984558105469e-01
6.332523771561682224e-04 4.595904611051082611e-03 1.372880581766366959e-02 9.979166984558105469e-01
5.188917857594788074e-04 4.593064077198505402e-03 1.374821085482835770e-02 9.979166984558105469e-01
4.102341190446168184e-04 4.585165996104478836e-03 1.374695170670747757e-02 9.979166984558105469e-01
3.099549503531306982e-04 4.579826723784208298e-03 1.376477442681789398e-02 9.979166984558105469e-01
2.205234632128849626e-04 4.575303755700588226e-03 1.376146823167800903e-02 9.979166984558105469e-01
1.441417698515579104e-04 4.575735889375209808e-03 1.376719027757644653e-02 9.979166984558105469e-01
8.269061072496697307e-05 4.574779421091079712e-03 1.376632042229175568e-02 9.979166984558105469e-01
3.768314127228222787e-05 4.574096295982599258e-03 1.376665662974119186e-02 9.979166984558105469e-01
1.022758897306630388e-05 4.574325401335954666e-03 1.376762986183166504e-02 9.979166984558105469e-01
9.999999974752427079e-07 4.572204314172267914e-03 1.376764662563800812e-02 9.979166984558105469e-01
1.022758897306630388e-05 4.573872312903404236e-03 1.376856770366430283e-02 9.979166984558105469e-01
3.768314127228222787e-05 4.569348413497209549e-03 1.377189531922340393e-02 9.979166984558105469e-01
8.269061072496697307e-05 4.573391750454902649e-03 1.376714557409286499e-02 9.979166984558105469e-01
1.441417698515579104e-04 4.572174511849880219e-03 1.378888078033924103e-02 9.979166984558105469e-01
2.205234632128849626e-04 4.568530246615409851e-03 1.379046868532896042e-02 9.979166984558105469e-01
3.099549503531306982e-04 4.563121590763330460e-03 1.380364969372749329e-02 9.979166984558105469e-01
4.102341190446168184e-04 4.559697583317756653e-03 1.382264308631420135e-02 9.979166984558105469e-01
5.188917857594788074e-04 4.554704297333955765e-03 1.385146286338567734e-02 9.979166984558105469e-01
6.332523771561682224e-04 4.548316821455955505e-03 1.381008885800838470e-02 9.979166984558105469e-01
7.505000103265047073e-04 4.542699083685874939e-03 1.386607158929109573e-02 9.979166984558105469e-01
8.677476434968411922e-04 4.532671999186277390e-03 1.392300333827733994e-02 9.979166984558105469e-01
9.821082931011915207e-04 4.526455886662006378e-03 1.391205936670303345e-02 9.979166984558105469e-01
1.090765930712223053e-03 4.513782449066638947e-03 1.393351145088672638e-02 9.979166984558105469e-01
1.191045041196048260e-03 4.504498559981584549e-03 1.402488723397254944e-02 9.979166984558105469e-01
1.280476571992039680e-03 4.492036066949367523e-03 1.402774266898632050e-02 9.979166984558105469e-01
1.356858294457197189e-03 4.484242293983697891e-03 1.409922074526548386e-02 9.979166984558105469e-01
1.418309402652084827e-03 4.474654793739318848e-03 1.413478609174489975e-02 9.979166984558105469e-01
1.463316846638917923e-03 4.465074744075536728e-03 1.420077960938215256e-02 9.979166984558105469e-01
1.490772468969225883e-03 4.455794580280780792e-03 1.421811617910861969e-02 9.979166984558105469e-01
1.500000013038516045e-03 4.445542581379413605e-03 1.420291326940059662e-02 9.979166984558105469e-01
1.490772468969225883e-03 4.439392592757940292e-03 1.425438001751899719e-02 9.979166984558105469e-01
1.463316846638917923e-03 4.431510809808969498e-03 1.427527423948049545e-02 9.979166984558105469e-01
1.418309402652084827e-03 4.424066282808780670e-03 1.432310137897729874e-02 9.979166984558105469e-01
